mes año,dia hora,Consumo,General pozos,Pozo 3,Pozo 8,Pozo 15,Pozo 4,A y D,"Campus 8""",A7-CC,Megacentral,Planta Física,Residencias,Pozo7,Pozo11,Pozo 12,Pozo 14
ago 2022,mar02 21:00,410,"70,929","226,164",,,0,0,,,,,,0,0,0,0
ago 2022,Mie03 09:00,270,"70,956","226,164","510,078.40","335,150.70",0,0,"4,549","753,081.87","2,657","7,482","37,892",0,0,0,0
ago 2022,Mie03 21:00,620,"71,018","226,164",,,0,0,,,,,,0,0,0,0
ago 2022,Jue04 09:00,360,"71,054","226,164","510,078.40","335,150.70",0,0,"4,578","753,233.71","2,930","7,532","37,900",0,0,0,0
ago 2022,Jue04 21:00,580,"71,112","226,164",,,0,0,,,,,,0,0,0,0
ago 2022,Vie05 09:00,380,"71,150","226,164","510,078.40","335,189.20",0,0,"4,613","753,382.39","3,229","7,584","37,903",0,0,0,0
ago 2022,Vie05 21:00,540,"71,204","226,164",,,0,0,,,,,,0,0,0,0
ago 2022,Sab06 09:00,350,"71,239","226,164","510,078.40","335,189.20",0,0,"4,639","753,527.18","3,527","7,635","37,908",0,0,0,0
ago 2022,Dom07 09:00,770,"71,316","226,164","510,222.90","335,189.20",0,0,"4,653","753,665.03","3,804","7,667","37,916",0,0,0,0
ago 2022,Lun08 09.00,810,"71,397","226,164","510,222.90","335,189.20",0,0,"4,666","753,813.91","4,143","7,686","37,923",0,0,0,0
ago 2022,mar09 9:00,"1,240","71,521","226,164","510,352.20","335,189.20",0,0,"4,710","754,047.40","4,453","7,738","37,939",0,0,0,0
ago 2022,Mie10 09:00,990,"71,620","226,164","510,438.90","335,189.20",0,0,"4,754","754,120.85","4,689","7,799","37,952",0,0,0,0
ago 2022,Jue11 09:00,"1,010","71,721","226,164","510,524.80","335,189.20",0,0,"4,790","754,222.30","4,947","7,866","37,963",0,0,0,0
ago 2022,Vie12 09:00,"1,210","71,842","226,164","510,610.80","335,189.20",0,0,"4,835","754,363.20","5,305","7,930","37,976",0,0,0,0
ago 2022,Sab13 09:00,"1,070","71,949","226,164","510,610.80","335,189.20",0,0,"4,875","754,488.09","5,601","7,986","37,987",0,0,0,0
ago 2022,Dom14 09:00,780,"72,027","226,164","510,610.80","335,189.20",0,0,"4,897","754,578.31","5,850","8,019","37,999",0,0,0,0
ago 2022,Lun15 09:00,570,"72,084","226,164","510,610.80","335,189.20",0,0,"4,910","754,661.48","5,995","8,041","38,012",0,0,0,0
ago 2022,mar16 9:00,"1,080","72,192","226,164","510,610.80","335,189.20",0,0,"4,949","754,777.71","6,269","8,099","38,029",0,0,0,0
ago 2022,Mie17 09:00,"1,110","72,303","226,164","510,610.80","335,251.90",0,0,"4,990","754,907.16","6,609","8,155","38,042",0,0,0,0
ago 2022,Jue18 09:00,"1,250","72,428","226,164","510,610.80","335,251.90",0,0,"5,035","755,049.74","6,940","8,210","38,057",0,0,0,0
ago 2022,Vie19 09:00,"1,160","72,544","226,164","510,610.80","335,251.90",0,0,"5,078","755,182.60","7,277","8,253","38,071",0,0,0,0
ago 2022,Sab20 09:00,"1,020","72,646","226,164","510,626.70","335,251.90",0,0,"5,118","755,310.65","7,591","8,294","38,083",0,0,0,0
